"year","Stock","total_biomass_kg","total_revenue","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name"
2000,"Ablennes",6864,59515,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2001,"Ablennes",1049,7960,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2002,"Ablennes",1418.5,8915,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2003,"Ablennes",1387.35,9781,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2004,"Ablennes",600.2,4140,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2005,"Ablennes",495.3,4044,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2006,"Ablennes",167.65,1709,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2007,"Ablennes",912.2,10350,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2008,"Ablennes",736.25,10718,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2009,"Ablennes",2424.2,22954,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2010,"Ablennes",4348.35,51903,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2011,"Ablennes",3308.4,37881,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2012,"Ablennes",3899.5,50626,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2013,"Ablennes",15125.7,173970,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2014,"Ablennes",17663.85,215863,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2015,"Ablennes",31507.75,443363,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
2016,"Ablennes",40220.15,603348,"Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae"
